Frequency: 145 GHz	 fbw: 0.276
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	6.542e-01	0.000e+00	0.000e+00
Atm     	6.542e-01	1.321e+01	0.000e+00	0.000e+00
Window  	1.384e+01	7.744e+00	1.320e-02	3.154e-05
IRShader1	2.115e+01	3.255e-01	0.000e+00	0.000e+00
IRShader2	2.146e+01	3.199e-01	0.000e+00	0.000e+00
IRShader3	2.176e+01	3.166e-01	0.000e+00	0.000e+00
IRShader4	2.205e+01	3.012e-01	0.000e+00	0.000e+00
IRShader1	2.233e+01	8.020e-02	0.000e+00	0.000e+00
IRShader2	2.239e+01	7.357e-02	0.000e+00	0.000e+00
IRShader3	2.244e+01	6.805e-02	0.000e+00	0.000e+00
IRShader4	2.249e+01	6.364e-02	0.000e+00	0.000e+00
AluminaF	2.253e+01	1.244e-01	1.043e-01	3.023e-05
HWP     	2.220e+01	1.816e-01	0.000e+00	1.986e-02
AluminaF	2.189e+01	1.179e-01	1.014e-01	2.866e-05
AluminaF	2.155e+01	7.394e-03	9.980e-02	1.806e-06
LowPass1	2.109e+01	1.643e-02	0.000e+00	0.000e+00
Aperture	1.988e+01	2.339e-03	0.000e+00	0.000e+00
Lens    	1.417e+01	1.637e-04	0.000e+00	0.000e+00
Lens    	1.379e+01	1.637e-04	0.000e+00	0.000e+00
LowPass1	1.342e+01	3.110e-29	0.000e+00	0.000e+00
Detector	1.262e+01	2.343e-02	0.000e+00	0.000e+00
